Heliotrope Logic Board,,,,,
,,,,,
Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1
53261-0271,"1.25mm Pitch PicoBlade™ Header, Surface Mount, Right Angle, Lead-Free, 2 Circuits",P1,1,Molex,53261-0271
MIC803-26D4VC3-TR,3-Pin Microprocessor Supervisor Circuit w/ Open-Drain Reset Output,U2,1,Microchip,MIC803-26D4VC3-TR
TLV74033PDBVR,300-mA low-dropout (LDO) regulator with foldback current limit 5-SOT-23 -40 to 125,U3,1,Texas Instruments,TLV74033PDBVR
BLM18AG601SN1D,600 Ohms @ 100MHz 1 Ferrite Bead 0603 _1608 Metric_ 500mA 380mOhm,FL1,1,Murata,BLM18AG601SN1D
CC0603JRX7R9BB104,0603 0.1 uF 50 V ±5 % Tolerance X7R SMT Multilayer Ceramic Capacitor,"C2, C5, C6, C7, C8, C9, C10, C11, C12, C14",10,Yageo,CC0603JRX7R9BB104
STM32F411CEU6,ARM® Cortex®-M4 STM32 F4 Microcontroller IC 32-Bit 100MHz 512KB (512K x 8) FLASH 48-UFQFPN (7x7),U1,1,STMicroelectronics,STM32F411CEU6
CC0603KRX7R6BB225,Cap Ceramic 2.2uF 10V X7R 10% SMD 0603 125C Paper T/R,C1,1,Yageo,CC0603KRX7R6BB225
GRM21BR71A106KA73K,Cap Ceramic 10uF 10V X7R 10% Pad SMD 0805 125C T/R,"C3, C4, C13",3,Murata,GRM21BR71A106KA73K
USB4110-GF-A,Conn USB Type C RCP 16 POS 0.3mm/0.5mm Solder ST SMD 16 Terminal 1 Port T/R,J1,1,GCT,USB4110-GF-A
ECS-2520MV-080-CN-TR,ECS-2520MV Series 8MHz 2.5x2mm 3.6 V SMT HCMOS Multivolt Crystal Oscillator,Y1,1,ECS International,ECS-2520MV-080-CN-TR
RCLAMP0504FBTCT,ESD Suppressor TVS Quad Uni-Dir 30kV 6-Pin SC-70 T/R,CR1,1,Semtech,RCLAMP0504FBTCT
68712014522,"Ffc / Fpc Board Connector, Zif, Surface Mount, Plug, 20, Bottom, 0.5 Mm Rohs Compliant: Yes",J2,1,Wurth Electronics,68712014522
